	target_text
7489	What is randomization principle
7490	What is a Bayesian distribution
7491	What are the two major techniques that are applied for hierarchical task analysis
7492	How do you do task analysis
7493	Why hierarchical task analysis is important
7494	What statistical analysis should I use to compare 2 groups
7495	What statistical inference tool should be used to determine if the difference between the two groups is statistically significant
7496	What does a relative frequency distribution show
7497	How do you interpret a relative frequency table
7498	What does relative frequency refer to
7499	Can I learn deep learning without machine learning
7500	How do you determine the best regression model
7501	How do you calculate probability example
7502	How do you find the probability of an event
7503	What is the formula for the probability of a simple event
7504	Which are loss functions
7505	What is ML loss function
7506	How do you extract weights in TensorFlow
7507	How do you visualize a TensorFlow model
7508	How do you view a TensorBoard
7509	How do you show a Markov chain is regular
7510	What is steady state in Markov chain
7511	Does facial recognition use machine learning
7512	What type of learning is face recognition
7513	What is the purpose of pooling layer
7514	What is generalized artificial intelligence
7515	What language tool is used for deep learning
7516	Which tool is best suited for solving deep learning problems
7517	Which application you should solve by deep learning
7518	How do you find the mean of a lognormal distribution in Excel
7519	What is probability explain the normal curve
7520	What is inference neural network
7521	What is inference in a Bayesian network
7522	What does Wald statistic mean
7523	What does the chi square statistic tell you
7524	How do you find the Wald statistic
7525	How do you calculate F distribution
7526	What is the F distribution in statistics
7527	How do you calculate F in regression
7528	How do you find the f value on a TI 84
7529	What are the two requirements for a discrete probability distribution
7530	What is a required condition for a discrete probability function
7531	What is single layer feed forward network
7532	What is a single layer neural network
7533	What is multi layer feed forward neural network
7534	What is mixed model research
7535	When should reinforcement learning be used
7536	What line is the point of averages on
7537	What is the point of a regression line
7538	How do you find a regression line given points
7539	Can we Ensemble multiple models of same ML algorithm
7540	What is PLS SEM analysis
7541	What is true error and sampling error
7542	How do you determine sampling error
7543	How does an Arima model work
7544	How does predictive analytics assist with decision making
7545	What are the outcomes of predictive analytics
7546	What are the benefits of predictive analytics
7547	What type stage of analytics that recommends decisions
7548	How do you use clustering for classification
7549	How do you classify a cluster
7550	Is clustering same as classification
7551	What is the major difference between cluster analysis and classification
7552	How do you find the quartiles of data
7553	What is the initial definition of quartile
7554	What does Q1 Q2 Q3 mean in statistics
7555	How do you find the quartiles in a normal distribution
7556	How do you find Q1 and Q3 in a normal distribution
7557	What is the Iqr of a standard normal distribution
7558	Why do you center variables in regression
7559	How can you reduce Multicollinearity
7560	What is an interobserver
7561	What does inter observer reliability mean
7562	What is intra observer error
7563	What is the critical value of F
7564	What are the constraints of a problem
7565	What is squared error loss
7566	What is squared error cost function
7567	How do you calculate posterior probability
7568	Why is sequencing of learning so important
7569	What is sequence modeling how it's helpful in NLP
7570	What is a scalar in statistics
7571	How do you know if two vectors are scalar multiples
7572	Is scalar multiplied by a vector or scalar
7573	What is log in regression
7574	What are log log plots used for
7575	How do you interpret logarithmic regression coefficients
7576	Is random forest better than SVM
7577	Which one is the not measure of dispersion
7578	Is interquartile range a measure of dispersion
7579	What are the advantages of truncated Bptt over Bptt
7580	How do you calculate fitted value
7581	What's the difference between GLM and GLM
7582	What is GLM used for
7583	How do you identify selection bias
7584	How are canonical correlations and Canonical variates related to multiple correlation
7585	When should I use correlation analysis
7586	When would you use regression rather than correlation
7587	Is multiple regression correlation
7588	What are the rules of probability
7589	What is the difference between implicit biases and stereotypes
7590	What does implicit bias training do
7591	What is the minimum sample size for at test
7592	What are the advantages of deep learning
7593	How do you calculate squared loss
7594	What is MSE in statistics
7595	What is multiple comparisons in statistics
7596	How does a K nearest neighbors classifier work
7597	How can you avoid a tie up situation in KNN for a binary classification
7598	How does K affect Knn
7599	What is the purpose of a conjoint analysis
7600	What do you mean by conjoint analysis
7601	How do you write a conjoint analysis
7602	Is Markov chain machine learning
7603	How do you control for a variable in regression
7604	How do controlled variables work
7605	What is variable interaction
7606	What does interaction mean
7607	What are the challenges in deep learning
7608	What is Softmax in CNN
7609	What is the process of visual perception
7610	What are two fundamental approaches to explaining perception
7611	What is Delta in quadratic equation
7612	What is the formula to find Delta
7613	How do you find order statistics
7614	Which of the following is order statistics
7615	What is a negative matrix
7616	How can you improve the accuracy of a logistic regression model
7617	What is accuracy in logistic regression
7618	How can you improve the accuracy of a regression model
7619	How do you know if data is Homoscedastic
7620	What is moment generating formula
7621	What is sampling frame and sampling unit
7622	Why is ReLU better and more often used than sigmoid in neural networks
7623	How many nodes are in the input layer
7624	Is Chi square a t test
7625	What is chi square test in simple terms
7626	What is the variance in a standard normal distribution
7627	What is normal variance
7628	What is the variance of the distribution of means
7629	How do you find the variance of a distribution
7630	Is Standard Deviation an estimate
7631	What does the sample standard deviation tell us
7632	What are Factorials used for
7633	What is the purpose of Hyperparameters in a machine learning training model
7634	What is quantile estimation
7635	Is normal distribution discrete or continuous
7636	What are ml metrics
7637	Why is systematic random sampling unbiased
7638	Can systematic sampling lead to a biased sample
7639	What are the disadvantages of systematic sampling
7640	What is systematic bias in sampling
7641	What is variance and how do you calculate it
7642	What are tools and techniques for strategic analysis
7643	What are the tools and techniques applicable for planning give examples
7644	Which of the following method is used to fill the missing values in categorical variables
7645	How do you treat categorical variables in regression
7646	What does the moving average tell you
7647	How do you calculate a moving average trend
7648	What is the effect of multicollinearity
7649	How does Multicollinearity affect standard error
7650	How do you interpret VIF Multicollinearity
7651	What does the variance inflationary factor VIF measure
7652	What is stratified sampling procedure
7653	What is stratified sampling used to estimate
7654	What does reliability mean in statistics
7655	How is reliability of sample measured
7656	How do you measure reliability in statistics
7657	What is a topic in LDA
7658	What is beta LDA
7659	What is the role of feature vector
7660	What data features
7661	What are the tools used for data mining
7662	What is data mining tools and techniques
7663	What type of supervised ML algorithm is used for feature ranking
7664	What is K mode clustering
7665	How do you find the covariance matrix of data
7666	What is covariance of a matrix
7667	How is covariance formula derived
7668	How does NumPy calculate covariance matrix
7669	What is an example of disjoint
7670	What is the difference between joint and disjoint sets
7671	What does mutually disjoint mean
7672	What are the steps in the sentiment analysis process
7673	Which model is used for sentiment analysis
7674	How do you calculate sentiment analysis
7675	What is confusion matrix in Sklearn
7676	What is mass intelligence
7677	What does multimodal learning mean
7678	Why are learning modalities important
7679	What is non probability sampling and its types
7680	What is difference between probability and non probability sampling
7681	What are the types of sampling
7682	Where is systematic sampling used
7683	What is systematic sampling and when is most appropriately used
7684	Which Tensorflow function can you use to configure a categorical column if you don't know all of the possible values for that column
7685	What algorithm does Tensorflow use
7686	What does the normal approximation to the binomial distribution mean
7687	What is the normal approximation
7688	How do you approximate a binomial with a normal distribution
7689	What is the mean of the standard normal distribution
7690	How do you find the mean of a normal distribution graph
7691	How do you calculate LTV CAC ratio
7692	What is a good CAC ratio
7693	What is the difference between a scientific hypothesis and statistical hypothesis
7694	What is a good ROC curve
7695	What does the Anova test tell you
7696	What is the relationship between Anova and regression
7697	What does the F statistic tell you in regression
7698	What is variance in regression analysis
7699	Is decision tree regression linear
7700	What is the application of convolution
7701	Why do we use linear convolution
7702	Where is binary search used in real life
7703	What are binary searches used for
7704	How do you use binary search
7705	What is an example of a binary search
7706	What is the time complexity of KMP algorithm Mcq
7707	What is the time complexity for Rabin Karp algorithm
7708	Why is KMP linear
7709	What is the formula for calculating bias
7710	What is variance of a model
7711	Is LDA Parametric
7712	Is Latent Dirichlet Allocation clustering
7713	What is the use of univariate analysis
7714	How do you do a univariate regression analysis in SPSS
7715	How biased are our algorithms
7716	How can machine learning detect bias
7717	What is an acceptance sampling what factors should be considered in designing it
7718	What is lot by lot inspection
7719	Does every random variable have a distribution
7720	Is distribution a probability
7721	What is meant by probability distribution
7722	What defines a distribution
7723	What is the difference between distribution and density
7724	When should you use Z test
7725	What is the difference between Z distribution and t distribution
7726	How can machine learning prevent Overfitting
7727	What is Underfitting and Overfitting in machine learning and how do you deal with it
7728	How do you study statistics and probability
7729	What is the easiest way to learn probability
7730	What is machine learning clustering
7731	What are the applications of clustering
7732	How does GloVe word Embeddings work
7733	What is empirical error in machine learning
7734	What is meant by sparse matrix
7735	What is matrix documentation
7736	What is moment generating function in statistics
7737	What's a good Kappa score
7738	What is the physical meaning of entropy
7739	Is entropy a physical property
7740	Is activation function a Hyperparameter
7741	Can Hadoop Do real time processing
7742	What is basic probability
7743	What do you mean by probability theory
7744	What is the basic law of probability
7745	What are layers in neural networks
7746	What are layers in machine learning
7747	How many types of layers are there in a neural network
7748	What is Perceptron learning rule
7749	How does a Perceptron change its weights
7750	How do you calculate bias in Perceptron
7751	What is the significance of error signal in Perceptron network
7752	Why do we need a table or computer to calculate a probability for a normal random variable
7753	Is normal distribution is a discrete distribution
7754	How does AI relate to natural language processing
7755	What is natural language processing and how does it work
7756	What is a confirmation bias and how can it affect our rationality
7757	Why is bias not good
7758	What is chi square distribution with examples
7759	What is the name of the parameter that determines the shape of the chi square distribution
7760	How are the parameters updates during gradient descent process simultaneously
7761	What are the dangers associated with drawing inferences from the stepwise model
7762	Which sampling method is most accurate
7763	When should you use stratified sampling
7764	What are the strengths and weaknesses of stratified sampling
7765	How do you interpret bivariate correlation
7766	How do you analyze bivariate data
7767	How do you analyze correlation data
7768	What do you mean by Contrapositive and converse
7769	What is an inverse statement
7770	What data is normally distributed
7771	What is parametric distribution
7772	Is Bayesian statistics better
7773	Why is temporal difference TD learning of Q values Q learning superior to TD learning of values
7774	What is TD error
7775	What does multivariable mean
7776	What is multivariate statistical methods
7777	Is deep learning good for regression
7778	What is the best activation function for regression
7779	What is the opposite of aversion
7780	What is the difference between risk averse and risk neutral
7781	What's the opposite of risk
7782	What is the purpose using principal component analysis on big data with many features
7783	What is AI and how does it differ from human intelligence
7784	What does mean squared error mean
7785	What is λ in probability
7786	How many types of neural networks are there
7787	Is neural networks and deep learning same
7788	What is neural networks and deep learning
7789	What is the difference between neural network and machine learning
7790	How do you use the law of averages
7791	What is logistic regression in simple terms
7792	How does a logistic regression work
7793	How do you calculate learning rate
7794	What are the advantages of the linearity assumption in linear regression
7795	What are the important assumptions of linear regression
7796	What does linearity mean in linear regression
7797	What is Adaline in neural networks Mcq
7798	How do you use the Taguchi method
7799	What is Taguchi method with an example
7800	What are the two basic stages of Taguchi design
7801	What are the names of different gates in Lstm and GRU
7802	Why is variance important
7803	What is the use of variance
7804	What does variance tell you about a population
7805	Why is it important to know how much variation is in a data set
7806	How do you calculate SSR in regression
7807	What does SSR measure
7808	How do you do logistic regression in SPSS
7809	What is autocorrelation in regression
7810	What does finite population mean in statistics
7811	What is finite population sampling
7812	Why is autocorrelation used
7813	What does split half reliability tell us
7814	What is the significance of reliability in data analysis
7815	What are binary categories
7816	What are the different types of classification
7817	How do you handle noisy data
7818	What is meant by noisy data
7819	What causes noisy data
7820	How can data mining remove noisy data
7821	What is maximum likelihood in machine learning
7822	Which metrics are used for classification problems
7823	What is data augmentation in NLP
7824	What is dataset augmentation explain
7825	What is the meaning of least squares in a regression model
7826	What is least square linear regression
7827	What does the term least squares mean
7828	What is time series analysis with example
7829	What is time series data analysis
7830	What is disproportionate sampling
7831	What is proportionate stratified random sampling technique
7832	How do you find proportionate sampling
7833	Is population variance the same as sample variance
7834	Why will random samples from a given population not have the same mean sample means will vary because the data values selected for samples are not randomly chosen sample means will vary because for each sample the same data values are selected
7835	Why is the standard deviation of the distribution of means generally smaller than
7836	How do you find the confidence interval in statistics
7837	What is the complexity of the Minimax algorithm
7838	How is Shannon Entropy calculated
7839	What is entropy function
7840	How does Shannon define information
7841	How many layers deep learning algorithms are constructed
7842	How deep is a deep neural network
7843	What is the average Gini index
7844	What is a good Gini coefficient
7845	What is the importance of a regression line
7846	What is the best regression line
7847	Does bagging increase variance
7848	Which operation is used in bagging to reduce the variance
7849	What is conditional probability PDF
7850	What is conditional probability and independence
7851	What is R and R 2 statistics
7852	What is few shot object detection
7853	What is the difference between biased and unbiased samples
7854	What makes something an unbiased estimator
7855	What is decision tree explain
7856	How does decision tree work
7857	What is true positive rate in data mining
7858	What is a relative frequency table in math
7859	When would you use a relative frequency table
7860	What is meant by frequency table
7861	What is a matrix or vector norm
7862	What is the nonparametric equivalent of linear regression
7863	How do you use beta distribution
7864	What is exclusion restriction
7865	What is the difference between 2SLS and IV
7866	What are the advantages of multitasking
7867	What are the pros and cons of multitasking
7868	What is a good example of multitasking
7869	Why Multitasking is required
7870	What would happen to the p value if you observe the same sample mean and sample standard deviation for a larger sample size say greater than 50
7871	What factors affect the p value
7872	What is the relationship between P values confidence intervals and sample size
7873	What is the use of time series analysis
7874	What are the major uses of time series
7875	Why do we use time series forecasting
7876	What is the difference between rule based and learning based approach
7877	How can you improve data accuracy
7878	What increases the accuracy of the decision tree model
7879	How many hash functions are there
7880	What are the limits of hashing
7881	Which algorithm is a hashing encryption algorithm
7882	What is the strongest hashing algorithm
7883	What type of bias in the text might a double blind experimental setup reduce
7884	How do you minimize experimenter bias
7885	How does bias affect an experiment
7886	What does bias mean example
7887	How do you find the coefficient of rank correlation
7888	Is a correlation coefficient on ranked data
7889	How do you calculate Spearman's rank correlation coefficient in Excel
7890	What are the 2 categories of machine learning
7891	What is the difference between equality of opportunity and equality of results
7892	What does equality of opportunity mean quizlet
7893	What is artificial intelligence and expert systems
7894	Is standard error equal to variance
7895	Is variance and standard deviation the same
7896	How do you calculate standard error from variance
7897	What is the formula for the experiment wise error rate
7898	How do you find comparison wise error rate
7899	What is a nonparametric hypothesis
7900	What is an example of a nonparametric test
7901	How do you determine if a test is parametric or nonparametric
7902	What is API in neural network
7903	What is evolutionary neural network
7904	Can we use CNN for text classification
7905	Which neural network learning algorithm is used for classification
7906	How do you calculate Type 2 error
7907	What is Type 2 error in hypothesis
7908	What is the relationship between artificial intelligence AI machine learning ml and deep learning DL
7909	Why AI and machine learning is important
7910	Is Machine Learning a subset of AI
7911	Which terms does not apply to cluster analysis
7912	What are the applications of cluster analysis
7913	What is decomposition analysis
7914	What decomposition means
7915	What is the purpose of decomposition in time series
7916	How do you forecast decomposition
7917	What are the two types of simple random sample selection methods
7918	What are the two types of sampling methods
7919	What are the four types of random sampling techniques
7920	What is an example of a stochastic event
7921	What is the difference between statistics and stochastic
7922	What is stochastic system
7923	How can you tell if a Markov chain is irreducible
7924	What is a reducible Markov chain
7925	How do you find the interval on a frequency table
7926	What is average pooling
7927	What is an example of a nonlinear relationship
7928	What does nonlinear association mean
7929	What does nonlinear mean
7930	What is the meaning of non linear text
7931	What is mean by frequency in statistics
7932	What is the difference between partitioning and sharding
7933	How do you find the median of a quartile
7934	What is median and interquartile range
7935	What is the fundamental postulate of statistical mechanics
7936	What are statistical mechanics
7937	Why do we use statistical mechanics
7938	What are the prerequisites to learn TensorFlow
7939	What is AutoML platform
7940	How do you center variables in SPSS
7941	How do you center variables
7942	How do you center a group in SPSS
7943	Is credible interval the same as confidence interval
7944	What is the difference between confidence interval and confidence level
7945	What is the difference between MSE and variance
7946	What is standard error used for
7947	What does the standard error of the estimate measure
7948	Is standard error a measure of variance
7949	What are hidden nodes *
7950	What are hidden units in neural network
7951	What is calculated in the nodes of the hidden layer of a neural network
7952	What is the significance of optimal separating hyperplane in SVM
7953	What is maximum margin hyperplane in SVM
7954	What is the relationship between mathematics and statistics
7955	What is mathematics and statistics
7956	What is meant by weights in neural network
7957	What does it mean to train a neural network
7958	How do you prove two matrices are similar
7959	Do similar matrices have the same trace
7960	What is Optimizer in deep learning
7961	What affects effect size
7962	Is Pearson's r an effect size
7963	Which of the following statements is true about linear regression regarding outliers
7964	What is an example of false cause
7965	What makes false cause a fallacy
7966	What is an example of a false dilemma fallacy
7967	What is the distribution of the test statistic
7968	What is the sampling distribution under the null hypothesis
7969	Which distribution is used for testing hypothesis
7970	How do you find the mode of a continuous random variable
7971	How do you find the mode of continuous data
7972	What is the mode of a variable
7973	Is all data normally distributed
7974	What does it mean for data to be normally distributed
7975	What does LSI do
7976	Do you reject or fail to reject H0 at the 0.05 level of significance
7977	What is the region of rejection in statistics
7978	How do you calculate KS test
7979	Why do we use probability sampling
7980	Should you always choose probability sampling Why or why not
7981	How do you find the probability from a histogram
7982	How do you create a probability histogram in Excel
7983	How do you make a probability histogram
7984	How do you create a probability distribution in Excel
7985	Does Mcculloch Pitts model have ability of learning
7986	What are the general limitations of backpropagation rule
7987	Can we learn deep learning without machine learning
7988	What does it mean by relative frequency
7989	What is the difference between the relative frequency and the percent frequency
7990	How do you do a relative frequency table
7991	Why do we use derivative in gradient descent
7992	In which case the gradient descent algorithm works best
7993	What is the algorithm efficiency for selection sort
7994	What are the steps algorithm used in sorting a queue
7995	How do you measure cluster accuracy
7996	How do you test clustering
7997	Which clustering method is more reliable
7998	What is the criteria of good clustering
7999	In which cases will k means clustering fail to give good results
8000	Which of the following may be a method of selecting the optimal number of clusters for K means
8001	How do you manage categorical data
8002	How do you deal with many categorical variables
8003	What are imputation methods
8004	What does it mean when a residual plot has no pattern
8005	What is fit in linear regression
8006	What is best fit line in linear regression
8007	Why do we use non parametric tests
8008	What are the most common reasons you would select a non parametric test over its parametric alternative
8009	What is area under the receiver operator curve
8010	Who invented Federated learning
8011	What is autocorrelation econometrics
8012	What is autocorrelation and cross correlation
8013	What is central moments in statistics
8014	What is sentiment analysis of Twitter data
8015	What are the most popular application areas for sentiment analysis Why
8016	Where is Knn used
8017	When the K nearest Neighbours algorithm is used for prediction the values are calculated by
8018	Is cluster sampling biased
8019	What percentage of the variation in Y can be explained by the corresponding variation in X
8020	How do you calculate explained variation
8021	How do you calculate the variance percentage
8022	What is the output of a regression in machine learning
8023	How do you interpret regression output
8024	What is the outcome of linear regression
8025	Is dependent and independent variable always present in a study Why or why not
8026	Which type of variable is used in a descriptive study
8027	Are there dependent and independent variables in qualitative research
8028	What is interpolation process
8029	How do you find interpolation and extrapolation
8030	Which method is used for interpolation
8031	How do you determine accuracy and precision
8032	Are random variables independent
8033	Is the sum of independent random variables independent
8034	How do you determine if two variables are independent
8035	How do you reduce variance
8036	What variance means
8037	What are the necessary conditions assumptions for constructing a confidence interval for a mean
8038	How do you create a confidence interval for a population mean
8039	What does classification accuracy mean
8040	How is accuracy calculated in image processing
8041	What is meant by null hypothesis
8042	What is a null hypothesis definition and examples
8043	How do you introduce a null hypothesis
8044	What is a null hypothesis and why is it important
8045	What are the two methods used for the calibration in supervised learning
8046	How knowledge is represented computationally
8047	How is knowledge represented stored and accessed
8048	What is the form of knowledge representation
8049	What does the Wilcoxon statistic represent
8050	How is p value related to type 1 error
8051	How are Type 1 and Type 2 errors related
8052	How does statistical power relate to Type 2 errors
8053	What are the different machine learning problems
8054	What is multi agent planning in artificial intelligence
8055	How many types of agents are there in AI
8056	What is agent based system
8057	How does gradient boost work
8058	Is gradient boosting deep learning
8059	What is the meaning of Quantisation
8060	How do you define quantized
8061	What is the binomial theorem used for
8062	Is conditional probability the same as dependent
8063	What is sensitivity in neural network
8064	Why neural networks are useful for fields of AI
8065	What is artificial neural network analysis
8066	How do you sample a uniform distribution
8067	What does output target mean
8068	What is target class data mining
8069	How is Lambda measured
8070	What is lambda ratio
8071	What should Lambda readings be
8072	What does a normal curve tell us
8073	How do you compare two box plots
8074	How do you describe the spread of a box plot
8075	How do you tell if a Boxplot is skewed left or right
8076	What does it mean if a Boxplot is skewed left
8077	Why is the efficient frontier curved
8078	What is efficient frontier curve
8079	How do you find the area to the right of Z
8080	How can you use technology to find the area to the left of Z
8081	How do you use technology to find the Z score
8082	What is the main purpose of descriptive statistics
8083	What is meant by descriptive statistics class 11
8084	Is Random Forest good for regression
8085	What is AI and types of AI
8086	What are two types of AI explain
8087	What can unsupervised learning be used for
8088	How do you train an unsupervised neural network
8089	What is the formula to find outliers
8090	How do you identify outliers in datasets
8091	What are outliers in ML
8092	Does chi squared assume normal distribution
8093	What is a randomized placebo controlled study
8094	What is the purpose of a double blind study
8095	How can statistical analysis be improved
8096	What is statistical Modelling techniques
8097	How is hysteresis thresholding used in the Canny edge detector
8098	When would you use paired data
8099	Is my data paired or independent
8100	What is the difference between paired and unpaired data
8101	What are paired means
8102	How is image processing related to machine learning
8103	How does image processing work
8104	Which software is used for image processing
8105	What are the types of learning strategies
8106	How do you initialize K means
8107	What is the difference between TensorFlow and python
8108	What is Scikit learn used for
8109	What is the relationship between type 1 error and the power of a test
8110	How do you determine Type 1 and Type 2 error
8111	What is path analysis SEM
8112	How do you use path analysis
8113	How do you find the critical value of a normal distribution
8114	How do you find the critical value
8115	How do you find ZC
8116	What is a filter in image processing
8117	What are the differences between mean and median filter
8118	Is Mean filter linear
8119	How does CNN reduce validation loss
8120	What does a paired t test compare
8121	How do you compare paired samples
8122	How do you interpret a paired t test
8123	How do you find the mean of paired differences
8124	What is the batch size in neural network
8125	What is effusion and diffusion
8126	Who introduced Graham's law of diffusion
8127	What is the formula of rate of diffusion
8128	What is the difference between geometric and exponential sequences
8129	What are heuristics and biases
8130	How are weights updated in CNN
8131	What are different machine learning algorithms
8132	What is a singularity image
8133	What type of random variable does a Gaussian distribution model
8134	What is a random error
8135	How does cross validation improve accuracy
8136	How do you find the density of a function
8137	What is population and sampling frame
8138	What does frame mean in statistics
8139	What is the difference between target population and sampling frame
8140	Should I learn deep learning or machine learning
8141	How do you choose a significance level in statistics
8142	What makes a sample statistically significant
8143	What is a problem with the linear model of communication
8144	What are the disadvantages of the linear model
8145	What are the strengths and weaknesses of linear model
8146	What are the advantages of linear model of communication
8147	How do you write the median and interquartile range
8148	Why is Iqr better than range
8149	What is IQR and range
8150	Can neural networks learn any function
8151	Do deep neural networks learn shallow learnable examples first
8152	Is deep learning part of AI
8153	How does AI deep learning work
8154	What is Gibbs algorithm in machine learning
8155	Is Gibbs sampler heuristic
8156	What does distributional mean
8157	When computing the similarity between words C and D the distributional similarity based metric gives a higher score than a path based similarity measure what can be inferred from this observation
8158	What does gradient color mean
8159	What does gradient mean in maths
8160	Does gradient mean slope
8161	Why do we use standard normal distribution
8162	What are measures of location
8163	How do you know which measure of central tendency is best
8164	How do multimodal learners learn
8165	What is precision and recall in confusion matrix
8166	Why feature selection is important in machine learning
8167	Why is feature selection necessary in regression Modelling
8168	Is a histogram bivariate
8169	Can you tell the mean from a box plot
8170	What is true of divisive clustering methods that makes them different from agglomerative clustering methods
8171	Which of the below statement describes the difference between agglomerative and divisive clustering techniques correctly
8172	What is visual object tracking
8173	How does tracking work in an object
8174	What is object detection in computer vision
8175	What is object tracking in image processing
8176	What are the major benefits of neural networks
8177	What is fine tuning in NLP
8178	Is Softmax logistic regression
8179	What is the intersection of two events in probability
8180	What does uniform distribution mean
8181	How do you know when to use uniform distribution
8182	What is CFA in statistics
8183	What is exploratory factor analysis used for
8184	What is class prior in naive Bayes
8185	What are methods of data analysis
8186	What are the advantages and disadvantages of non parametric test
8187	What field is AI used in
8188	Is AI used in data science
8189	What is a domain in machine learning
8190	What are the five steps of hypothesis testing in statistics
8191	What statistical method is hypothesis testing
8192	How do you determine optimal learning rate
8193	What is the difference between the signal and the noise
8194	What is an example of split half reliability
8195	What is autocorrelation used for
8196	Does Adam decrease learning rate
8197	What is the default learning rate for Adam
8198	How do you get rid of selection bias
8199	What are the things to be considered in order to avoid bias in the selection of data
8200	What do you mean by statistical decision theory
8201	How do you explain logistic regression
8202	How do you explain logistic regression in interview
8203	How many parameters does a geometric distribution have
8204	What are the parameters of a probability distribution
8205	Which test would you use to test the assumption of normal residuals
8206	How do you test data for normality
8207	How does a Perceptron work
8208	How a single perceptron can be used to represent the Boolean functions such as AND OR
8209	Why is the sample size important
8210	Why is sample size important in an experiment
8211	How does sample size affect validity of a study
8212	How does sample size affect validity
8213	What are difference between the classification and recognition in machine learning
8214	What is meant by data preprocessing in machine learning
8215	What do you understand by data processing
8216	Why do we need data processing in ML
8217	What is optimization in deep learning
8218	What does the Matrix say about reality
8219	Why do we use Anova
8220	Why is Anova used instead of t test
8221	What is the principal reason why you should use Anova instead of several t tests to evaluate mean differences when an experiment consists of three or more treatment conditions
8222	Whats the difference between PDF and CDF
8223	What is the difference between CNN and Ann
8224	What is inverted list in data structure
8225	What are the types of multivariate analysis
8226	What are ways to deal with multivariate data
8227	How do you define likelihood
8228	What does likelihood mean in probability
8229	How do you use likelihood in a sentence
8230	What is beta in regression
8231	How do you interpret Beta
8232	How can classification models be improved
8233	What does it mean to be a consistent estimator
8234	What makes a model stochastic
8235	What is the difference between a deterministic and stochastic model
8236	What is stochastic analysis
8237	Can Pearson correlation be used for categorical data
8238	Why is probability sampling widely preferred
8239	What is sampling design explain probability and Nonprobability sampling
8240	How do you select the value of k in Knn
8241	What is K value in Knn
8242	What is a good K value
8243	What happens when K 1 in Knn
8244	Is Z countable set
8245	When Should non parametric tests be used
8246	In what area of research the non parametric tests are more useful than parametric tests
8247	What is linear regression analysis used for
8248	What is the difference between sampling frame and target population
8249	Is LM exogenous variables
8250	How many independent variables can there be in regression models
8251	Can you have 2 independent variables
8252	What is artificial intelligence and how it works
8253	What are Hyperparameters in neural network
8254	What is the difference in bias and variance in Random Forest vs gradient boosting
8255	What is binomial distribution and its properties
8256	Is a Bernoulli distribution continuous
8257	Is Bernoulli discrete
8258	What is the formula for population mean
8259	What is population mean in statistics
8260	How do you calculate sample mean
8261	What is sample mean and population mean
8262	How do you calculate hazard rate
8263	What does covariance tell us
8264	What is covariance and correlation coefficients
8265	What is outcome variable
8266	Which variable is the outcome variable
8267	How do you know what the dependent variable is
8268	What is posterior sampling
8269	Which types of similarity measures are used to calculate distance between two objects
8270	Which of the following provided by the Bayesian network
8271	What does NLTK Tokenize do
8272	How do you Tokenize words in NLTK
8273	Which of the following NLTK method is used for splitting sentences in the paragraph
8274	Why sigmoid function is used in logistic regression
8275	Why is sigmoid probability
8276	Why is it better to use median instead of mean
8277	Why would you use median over average
8278	Why is the median preferred to the mean for skewed data
8279	Why use median income instead of mean
8280	How do you plot a decision boundary
8281	What is decision region
8282	What should the correlation of variable when compared with itself
8283	What does it mean when variables are correlated
8284	What does a 0.4 correlation mean
8285	How is Bayes theorem useful in machine learning
8286	Why do we need clustering
8287	What cluster analysis tells us
8288	What is the mean of at distribution
8289	Is the distribution normally distributed
8290	What counts as a normal distribution
8291	What is unbalanced dataset
8292	How Bayesian network can be used to answer any query
8293	What are covariate variables
8294	What does it mean to control for covariates
8295	What are examples of covariates
8296	What are prior and posterior probabilities
8297	What do you mean by posterior probability distribution
8298	Why is bootstrapping important statistics
8299	How do you know a false positive
8300	What is stratified block randomization
8301	What is the T value in statistics
8302	Is the test statistic the p value
8303	How do you find the value of the test statistic
8304	What are the advantages of P & PI controller
8305	What are z scores used for
8306	Are Z scores always normally distributed
8307	What is a contrastive loss
8308	What is contrastive learning
8309	What are statistical analysis methods
8310	Where is information theory used
8311	What are the elements of information theory
8312	Who described the information theory
8313	What are non invertible matrices
8314	What does non invertible mean
8315	How do you know if a matrix is invertible
8316	What does Nonsingular mean
8317	What does the standard error of the estimate RMSE measure
8318	What is the standard error of the estimate
8319	What is the meaning of standard error
8320	What is computer vision in deep learning
8321	Is computer vision part of deep learning
8322	What is the most commonly used deep learning network in computer vision
8323	What is the use of regularization What are L1 and L2 Regularizations
8324	What is meant by statistical project
8325	What is a statistic in statistics example
8326	What is a statistical design
8327	Does AI have emotional intelligence
8328	How long do CVT transmissions last
8329	How does a continuously variable transmission work
8330	What is the probability mass function of Poisson distribution
8331	How does a permutation test work
8332	How do we calculate the P value for a permutation test
8333	What is permutation method
8334	How do you oversample text data
8335	How do you balance your data
8336	What are neurons called within neural networks
8337	What is neurons in CNN
8338	What is SVM and how does it work
8339	What does a median filter do
8340	Is a median filter a kind of convolution
8341	What makes a low pass filter
8342	How do you organize yourself
8343	Which one of the functions always maps the values between 0 and 1 sigmoid
8344	What is off policy evaluation
8345	How is sample variance calculated
8346	What is the variance of the sample data
8347	How do you find the variance of a random sample
8348	What are the characteristics of a linear model of communication
8349	What are the four characteristics of linear model
8350	How coefficients are calculated in logistic regression
8351	What do coefficients mean in logistic regression
